clean_text,sentiment_label
tolong koh leon kasih tahu ust felix kalau mata uang itu enggak cuma harus stabil tapi juga harus likuid dan fleksibel jumlahnya yang jadi pertanyaan emas dinar likuid dan fleksibel enggak jumlahnya tolong kasih paham juga soal quantity theory of money nya irving fisher biar enggak asal njeplak lagi kalau mengomong soal fiat money,Positif
yang mayoritas muslim muslim hanya status agama bukan yang menjalankan agamanya,Negatif
kousakamayumi pakai kepingan emas dan perak enggak bisa,Negatif
mumetndasku8610 bisa saja sih us saja pernah pakai standar bimetal emas dan perak tapi hasilnya apa bodoh deflasi dan resesi ekonomi,Negatif
negara agamis darimana orang banyak yang enggak shalat sistem negara juga bukan sistem islam kok dibilang negara agamis,Negatif
kousakamayumi iya karena penggerak ekonomi itu iya cetak uang buat nerbitin hutang kalau emas enggak bisa dicetak semaunya,Negatif
penggemarsetiase pasti miskin rolling on the floor laughing,Negatif
enggak tahu kenapa podcast yang ada ust felix siauw nya selalu lewat di beranda ku auto menonton padahal enggak pernah menonton yang punya podcast nya grinning face with sweat,Negatif
bukan agamis koh tapi negara ritual,Negatif
alasykari5313 kalau ada negara sekuler yang menerapkan prinsip2 syariah yang berkeadilan apakah bisa disebut agamis,Netral
indonesia bukan negara islam jadi umat islam di indonesia jika mengamalkan agamanya maka itu kehendak sendiri jika melanggar pun tidak ada hukumannya jadi di indonesia yang mengamalkan ajaran islam itu karena beriman kepada tuhan bukan takut kepada hukuman masalahnya adalah seberapa besar imannya banyak ilmu agamanya belum tentu imanya dalam karena iman lebih dibentuk dari pengalaman harian sok korupsi oke asal aman itu artinya enggak takut makan harta yang bukan haknya mencerminkan seberapa dalam iman seseorang obatnya iya dibuat menderita ketika orang tidak punya apa apa lagi yang diandalkan di dunia maka kebanyakan sandaranyan adalah tegak lurus atau putus asa,Positif
orang hti anti pancasila nkri mengapai di wawancara model begini begitu kuat di sikat lo mirip taliban ke minor,Negatif
bau2 bakal kolab terus ini sama ust felix face with tears of joy,Negatif
betul negara agamis tapi kan tidak menerapkan hukum agama iya jelas saja korupsi pembunuhan dan kejahatan berat lainya makin banyak,Negatif
silat lidah face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy yang paling utama kalo sudah cabul dalil keluar buku yang mengajak ribut debat adu kepintaran,Positif
cuma mabok agama tapi kelakuan bobrok,Negatif
lawak juga sih mirip sistem gereja iya geraja gerak itu kayak kayak soalnya uang di asi selalu di atur oleh pendeta mereka mirip ustadz nmustaz sufi liberal shia nu diindonesia sistem agama tapi merampok uang dakwah enggak berdasarkan kebenaran mengandalkan logika dan mulut busuk mereka demi keuntungan pribadi kelompok demi ketenaran sekarang sayabtanya nih kamu felix mencari tenar atau mencari ridha allah gue enggak lihat kamu mencari ridho allah selain melihat kamu menyari tenar dimata orang orang ada type manusia yang akan dilempar allah ke neraaka kelak salah satunya yang mengaku mencari ridho allah namun mereka riya mencari ketenaran agar dikatakan orang yang rajin ibadah,Negatif
lanjut undang pakar ekonomi syariah ustadz syafii antonio iya koh bisa ditanyakan lebih dalam tentang bank syariah dan bitcoin ke beliau,Netral
leon why are you bringing ini a twisted guy on the podcast,Netral
agama teori itu sudah ada dari zaman nabi adam tapi banyak yang enggak mau mempraktekkan ke bukan karena agamis,Negatif
itu ujian namanya juga manusia,Negatif
ngeri iya om nairaf4iza,Negatif
leon kenapa irrelevant kenapa undang kebodohan,Negatif
kousakamayumi kankoh felix sudah disclmer dull beliu tidak paham surat pandang money invest beliu hanya menjelaskan sistem islam terimakasih anda sudah kasih informasi atau dm saja tuh share ilmu boleh tampa kata jiplak jablak dull,Negatif
koh ralat indonesia bukan negara agamis indonesia sama dekit leberal dikit demikrat,Negatif
makmur i1b dia cuma disclaimer tidak paham soal investment tapi enggak bikin disclaimer enggak paham soal konsep mata uang bahkan pas jelasin soal fiat money kelihatan banget biasnya dan kasih contoh negatifnya doang tanpa kasih sisi negatif mata uang berbasis metal juga kelihatan banget lah narasinya mau bagus2in dinar dan dirham doang ujung2nya orang bias kayak begini jadi rujukan kalian,Negatif
undangan ichsanuddin noorsy,Netral
hukum islam sama sekali tidak dilibatkan di negara yang katanya mayoritas muslim terbesar didunia ini miris,Negatif
om leon undang juga ustadz khalid basalah dong dia juga banyak bisnisnya,Negatif
jefripratama5059 yang aku tahu beliau ini anti demokrasi bukan anti pancasila bisa dicek di podcast2 lain correct me if i'm wrong,Negatif
karena imanya tipis,Negatif
negara kita memang mayoritas mulim tetapi nilai-nilai islam hanya diterapkan di masjid saja tidak sampai pada level negara,Negatif
nairaf4iza karena negara kita cuma menggunakan al qura dan untuk sumpah jabatan bukan untuk sebuah aturan yang diterapkan di negara,Negatif
bitcoin salah satu alat pencucian uang,Netral
kalo otak dan pikirannya dijual gue beli tuh smiling face with smiling eyes isi kepalanya sudah kayak perpustakaan the best ust felix siauw redaksi heart,Positif
keren,Positif
ust felix terbaik redaksi heart,Positif
ust felix terbaik redaksi heart muhammadirvan m7u,Netral
muhammadirvan m7u ust felix terbaik redaksi heart,Netral
ust felix terbaik redaksi heart,Positif
muhammadirvan m7u ust felix terbaik redaksi heart,Netral
ust felix terbaik redaksi heart,Positif
indonesia bukan negara agamis tapi mayoritaa doang namun prakteknya bukan islami bahkan kata dari zakir nauk sistemnya liberal masih lebih baik malaysia banyak menerapkan syariat islami meski belum sempurna hrga bbm tertawa murah di malaysia pajak pun kecil tidak memberarkan rakyatnya,Negatif
negara agamis mana indonesia memang iya mayoritas ktp penduduknya iya kalau dilihat dari ktp tapi sebagian besar bahkan benci dengan syariat dan kebijakan pemerintahnya semi sekuler dong,Negatif
redaksi heart smiling face with smiling eyes ustadz felix terbaiq redaksi heart smiling face with smiling eyes,Netral
daniel jn1ev betul sekali kalau mau belajar agama jangan lihat pengikutnya tapi lihat belajar kitab sucinya seperti di amerika atau negara2 eropa mayoritas agamanya kita sama-sama tahu namun kejahatan2 yang pernah kita ketahui juga ada di negara2 tersebut,Negatif
mungkin enggak dah hubungan negara agamais contohnya indonesia venezuela filipina meksiko beberapa negara yang menggaap penting agama tapi tinggi korupsi justru negara sekuler yang banyak penganut ateis bahkan rendah tingkat korupsinya contohnya beberapa negara maju kenapa bisa begitu iya,Negatif
ini negara demokratis yang pancasilais bukan agamais kalo negara agamais hukuman yang diterapkan hukum syariah dalam hukum syariah pencuri saja dipotong tangannya apalagi korupsi dihukum mati haram untuk riba diterapkan enggak akan ada bank konvensional pinjol yang bikin rakyat makin melarat enggak akan ada judol perjudian juga diharamkan enggak ada ada porstitusi minuman beralkohol dan lain-lain hukuman mati untuk pembunuh coba terapkan beraoa kepala pejabat korupsi yang terpotong,Negatif
nairaf4iza bukan agamanya tapi lebih ke personalnya dunia kan hanya tpt untuk menguji keimanan manusia dalam melawan godaan dan kesabaran dalam tiap cobaan surga dan neraka adalah hadiah untuk diri manusia sendiri,Positif
negara yang baru ber ktp islam bukan negara yang berakhlak muslim ber konsep al qur an ber gaya sunnah rasul muhammad jangan salahkan islam nya salahkankenapa hanya herhenti di atribut islamnya saja,Negatif
negara agamis nya enggak mempraktikan hukum islam,Negatif
definisi agamis itu bukan dari jumlah pemeluknya qty melainkan quality,Negatif
terima kasih atas pengalamanya party popper,Positif
latyif avicena siaap ternyata pentingnya rasa syukur selama ini rasa takut saya cuma rasa takut semu kesalahan terbesar karena ego saya yang terlalu tinggi berpikir semua itu karena saya padahal salah semua karena tuhan yang mengasih hoki kemarin memikirkan kemungkinan terburuk terus kalau begini bagaimana kalau begitu bagaimana alhasil pesanan terbengkalai jadi enggak produktif ternyata saya cuma perlu kerjain apa yang saya bisa urusan hasil iya nanti bagaimana tuhan,Negatif
hal lumrah untuk pebisnis merasa kehilangan arah hal ini juga dijelaskan di buku start with why banyak pebisnis ulung merasa tidak bahagia hampa dsb meski bisnisnya profitable karena mereka melupakan tujuan awal mereka membangun bisnis yakni kenapa berbisnis dan untuk siapa,Negatif
luar biasa,Positif
yuk menulis tujuan yang lebih besar haji plus dan umroh plus bersama suami dan anak-anak,Netral
terimakasih sharingnya bisa menjadi bekal perjalanan saat saya rintis bisnis saya,Netral
coba tujuannya supaya bisa sedekah yang banyak kalau sedekah anda banyak rezeki pasti banyak,Positif
bijak smiling face with smiling eyes,Netral
mengarang enggak,Negatif
sama aku juga intinya bersyukur dan siap melewati ujian dari allah swt,Positif
disaat bisa membahagiakan orang lain dan sukses melihat orang lain tersenyum bahagia itulah tujuan hidupku,Positif
betul,Positif
masya allah kakak itu tujuan dan impianku bebasin shm orang tua tapi sampai sekarang belum terwujud face holding back tears,Negatif
pengalamannya plek ketiplek sama gue dong wkwk sampai tahunnya juga sama face with tears of joy sekarang sudah lunas mencoba membangun kembalitapi setiap bulannya ada saja permasalahannya wkwk,Positif
wah ngena banget ini saya juga bedanya saya karyawan,Positif
keren bang kadang memang harus up and down yang terpenting kita konsisten sama tujuan dan upgrade skill lebih luas,Positif
betul semakin berpikir rasanya agama semakin indah dan berharmoni dengan kehidupan bukan lagi tentang surga dan neraka tapi kenapa a berpahala apa dampaknya dan kenapa tidak boleh b apa kerugiannya,Positif
mantab,Positif
wah baru tahu saya begitu kenapa aku pusing juga iya grinning face with sweat grinning face with sweat,Negatif
semangat saudara laki-laki banyak yang similiar dengan keadaan saudara laki-laki smiling face with smiling eyes,Netral
party popper smiling face with smiling eyes,Netral
riba apa sih bang hadeh ngomong-ngomong pinjam uang juta kembali tahu lagi dengan nominal utuh juta boleh bang,Negatif
aku index pointing up face with tears of joy,Netral
index pointing up,Netral
hadir,Positif
hadir,Positif
hadir,Positif
saya sidoarjo hadir senang jika lihat dan menyimak podcast dgbust felix,Positif
hadiir saluting face,Positif
hadir,Positif
index pointing up,Netral
saya dong,Negatif
index pointing up medium terang skin tone,Netral
aku,Positif
ketahuan deh aku rolling on the floor laughing,Negatif
hadir redaksi heart,Netral
aquuh,Negatif
palembang hadir,Positif
alhamdulillah ya a allahumma sholli ala syaidina muhammad,Positif
saya,Positif
smiling face with smiling eyes party popper,Netral
keren saudara laki-laki,Netral
terima kasih mas party popper,Netral
buset terima kasih bang,Positif
semoga allah memudahkamu brother karena kamu memudahkan teman teman audiens thumbs up,Netral
pin komen ini dong,Negatif
mantab,Positif
terima kasih bang saya cari yang bagian crypto jazakallah khoir,Positif
masih awam soal bisnis aku ini face with tears of joy,Negatif
thankyu saudara laki-laki folded hands,Netral
mantapss hatur nuhun iya,Positif
terima kasih kak redaksi heart,Positif
terima kasih bang,Positif
mantab,Positif
terima kasih king crown,Netral
mkasih saudara laki-laki,Netral
ini layak dapat ribuan like,Positif
redaksi heart,Positif
terima kasih bang,Positif
redaksi heart redaksi heart redaksi heart,Netral
yang dijudul bitcoin ditungguin sampai titik azl nah scroll baru lihat time line ini yang bermanfaat party popper grinning face with sweat face with open mouth,Netral
terima kasih orang baik smiling face with hearts,Positif
mantap saudara laki-laki saya langsung skip ke menit face with tears of joy,Positif
lov lu bang,Positif
terima kasih,Positif
wah terima kasih party popper,Netral
keren,Positif
keren,Positif
syukron,Negatif
keren cerdas redaksi heart,Positif
mantap,Positif
matursuwun saget,Netral
party popper party popper party popper redaksi heart redaksi heart redaksi heart terima kasih saudara laki-laki,Netral
bentuk nyata ustad felix bahwa hidup adalah untuk mempersiapkan kematian amal jariyah yang akan terus mengalir melalui pendidikan salut ustad seorang mualaf yang memahami betul peninggalan nabi muhammad alquran dan sunnah terima kasih atas ilmunya ustad,Positif
masha allah rajin banget semoga jadi amal jariyah iya ijin copas saya posting di fb saya,Positif
kasihan yang punya chanel karena ada timeline maka orang jadi enggak menonton lengkap tapi cuma paa bagian part tertentu,Negatif
amin,Positif
wah langka smean mas sopir tapi senang ust felix thumbs up thumbs up jogo solate mas folded hands folded hands,Positif
amin mas,Positif
dibagusin amalannya mas,Negatif
kerjaanmu mulia mas semoga allah mudahkan segala urusan,Positif
ku doakn semoga dengan sering menonton podkes ustad felix dan yang lain nya jadi jalan agar islam nya enggak cuma di ktp amin alhamdulillah saya pun sedang menjalani proses agar islam ku enggak cuma di ktp yang wajib sudah yang sunnah masih jarang dan yang wajib pun masih belum selalu jamaah dan tepat waktu,Positif
berkah selalu kerjanya mas tingkatin diri terus upgrade pemikiran dengan tonton konten-konten yang baik iya,Positif
amin,Positif
ayo semangat mas karena anda sudah jadi muslim coba mulai tegakkan sholat iya karena sholat tiang agama semoga istikamah kemudian dimudahkan segala urusannya oleh allah swt amin,Positif
yang lain enggak perlu mengasih nasehat setiap orang punya perjalanan hidup sendiri2 nasehatilah diri kalian sendiri sudah benar apa belum,Negatif
luar biasa mas dilanjutkan hobi dnger podcast yang baik baik nya semoga selalu dijaga allah dimanapun berada,Positif
rapopo mas penting wayahe solat ya solat wayahe poso ya poso wayahe zakat ya zakat duwe duit ya munggah kaji cantumke kontak mas sopo reti iso ikut muatan balen,Netral
amin semoga selamat dan berkah kerjaannya iya mas minimal sholat waktu dan puasa ramadhan jangan ditinggal inshallah enggak islam ktp lagi,Positif
aaminn sama aku juga masih islam ktp tapi mungkin sudah fitrah kita senang dengan kebaikan iya jadi senang juga mendengarkan podcast yang membawa kebaikan khususnya ufs semoga dikit dikit kita bisa jadi islam yang lebih baik lagi iya aamiinn,Positif
amin maskuq,Positif
amin,Positif
semangat mase semoga allah selalu berkahi rizqi mase dan mudahkan mengerjakan seluruh kewajiban,Positif
trailer wow skill yang enggak semua orang bisa,Negatif
redaksi heart amin amin amin yarobbal alamiin redaksi heart,Netral
amin amin amin yarobbal alamiin,Positif
alhamdulillaah semangat pak,Positif
wayae sholat ya sholat cok ojo mendem saja koen pir sopir face with tears of joy,Netral
amin,Positif
saya pernah suudzon sama supir kontainer ketika dia masuk toilet mesjid pakaiannya seperti supir pada umumnya saya pikir dia cuma numpang buang air eh ternyata dia ganti baju gamis face with peeking eye,Negatif
surabaya juga hadir fan berat ust felix,Netral
masyaallah semangat belajarnya iya mas smiling face with smiling eyes thumbs up,Positif
amin,Positif
mari berikhtiar tapi wajibkan sholatnya bang,Negatif
masyaallah,Positif
amin,Positif
menurut orang yang enggak mengerti agama,Negatif
amin,Positif
siap bang kami memang enggak begitu mengerti agama mkny kami selalu mencari dan mempelajari hal baru bukan tentang bagaimana cara kita memjalankan syariat islam tapi kenapa kita harus menjalankan syariat islam sesuai mungkin juga berlaku buat agama lain folded hands terang skin tone visbyamdotco,Positif
visbyamdotco enggak perlu agama buat berpikir logis makanya penjelasan felix siauw itu relatable buat semua orang agama apapun karena dia tahu tujuan dia dakwah itu untuk edukasi bukan propaganda,Positif
retest6658 yang dia bicarain agama jadi harus ikut logika agama logika akan lebih bersih kalau sesuai konteksnya jangan terlalu polos jadi orang entar dikibulin face with tears of joy,Positif
ustad yang cerdas matematikawan dan rekaman pengalaman beliau jadi logika pandangan untuk mencerahkan agama khususnya dan jalan hidup secara umum terimakasih koh leon saya pas di arahkan youtube mampir di channel ini pemikiran kedua beliau ini mencerahkan bagi saya,Positif
pemburu podcast ustad felix party popper party popper party popper,Netral
riil,Netral
benar banget,Positif
asset untuk memperkaya diri,Netral
jual agama,Negatif
pejuencer n3y beaming face with smiling eyes beaming face with smiling eyes face with tears of joy face with tears of joy face with tears of joy face with tears of joy beaming face with smiling eyes,Netral
siputlaut1 memang dipanggil leon buat jualan,Positif
iya setuju dari pada cindo yang kompori orang-orang tapi ujung2nya bisnis mencari untung sendiri,Negatif
kalau yaman,Netral
abdarafi kalau paulus dari tarsus,Netral
siputlaut1 iya lihat para pendeta superr kayak dong mereka hidup sederhana enggak ada nilep duit perpuluhan face with tears of joy,Negatif
pejuencer n3y wali songo itu juga china tuh apakah mereka untung bisa mengislamkan pulau jawa padahal waktu itu belum banyak islam,Negatif
bagaimana dengan permadi arya,Netral
enggak butuh orang jualan mitos,Negatif
halah face with tears of joy,Netral
vonrudinho506 kenapa jadi ke permadi arya apakah karena sama-sama ustad saudara laki-laki mentri agama saja ada yang korupsi poinnya yang salah muslimnya orang islam atau islam ajaran islam disini,Negatif
wkwkwk,Netral
galvingibran5940 yang apabila dibacakan kepadanya ayat ayat kami dia berkata itu adalah dongeng orang orang dahulu qs al muthaffifin ayat bahkan kata2mu sudah ada dalam alquran saudara laki-laki grinning face with sweat,Negatif
smiling face with halo,Netral
lah sebenarnya percaya di dalam hatiatau sampai bilang tuhan ada saja deh kafir bang maaf,Negatif
setuju me too makanya islam di indonesia itu agama yang hanya diikuti dari nenek moyang yang diharuskan tanpa mendalami dan menerapkan di setiap langkah hidup karena yang contoh yang kelihatan saja sedangkan yang mengajarkan ayat2 kitab suci enggak kelihatan tuhan crying face,Negatif
kamu enggak tahu saja track record wawancara sih felix dia juga ustad takfiri hanya saja sekarang lebih di rem karena lagi maraknya kasus kekerasan yang dilakukan oleh orang islam,Negatif
majulkarokaro link nya mana saudara laki-laki kalau dia mengajarkan hal tidak baik tidak sesuai ajaran islam karena selama ini saya banyak lihat podcast nya mengajarkan kebaikan2 yang ada dalam ajaran islam bahkan dia mengajarkan tidak boleh menghina menghakimi orang meski beda server ditunggu iya saudara laki-laki link nya kalau enggak ada bukti kan takutnya jadi fitnah,Negatif
setuju pernah ditegur guru karena solat pakai kaos dengan gambar di punggung tapi gurunya pakai batik bergambar burung whaat,Positif
majulkarokaro kejahatan akan seseorang tidak membuat kebenaran yang dia ucapkan tidak diterima manusia ada benar ada salahnya kalau menurut saya ambil baiknya buang buruknya kalau langsung melabeli keseluruhan pendapat seseorang hanya karena sebagian kesalahannya sayang banget sih,Negatif
terus kalau yang lain gapapa di rasisin rolling on the floor laughing,Negatif
emang gue pikirin mrajiboy,Positif
mrajiboy beaming face with smiling eyes beaming face with smiling eyes face with tears of joy face with tears of joy face with tears of joy face with tears of joy,Netral
yang benar semua orang seharusnya enggak dirasisin sih pak grinning face with sweat,Negatif
rasis itu di larang pada semua manusia sodara,Negatif
iya wajar lah bang kok pakai tapi,Positif
ini pernyataan ente bagaimana kaya ngelamun kamu bangun woyy mungkin begini kali saya kristen dari lahir tapi saya suka dengar dakwah ustd felix begitu kali,Positif
mantab xiaomaytech,Netral
aku enggak paham sama ketikan mu saudara laki-laki kalau islam enggak dari lahir berarti enggak suka apa bagaimana,Negatif
jazakallah kalau berterima kasih pada ikhwan kalau berterima kasih pada akhwat jazakillah,Positif
gila jam enggak kerasa kayak baru menit bahasan terus tahu tahu sudah selesai good job koh felix dan koh leon biar bahasannya enggak melulu urusan dunia yang ujung ujungnya mati juga tapi sekali kali bahas cara menyeimbngkan urusan dunia dan akhirat seru habis very good explanation lanjut time ada more please kita butuh pembelajaran seperti ini seperti orang dahaga yang butuh akan minum more more more,Positif
dakwah tidak hanya bicara soal ibadah ritual dan ahlak saja yang biasa umum para ustad sampaikan islam harus menjadi masalah solving bagi seluruh umat manusia apapun agamanya sehingga bicara islam perlu juga dibahas sistem ekonominya yang bisa menjadi solusi negara ini yang penuh masalah dengan sistem yang tidak adil,Positif
wah kok leon kamu keren banget asli open tapi all ideas saya sempat terbesit aduh kalau koh leon belajar ekonomi islam bakal mantap banget ini eh benaran saja ngundang ust felix memang orang yang tepat untuk menjelaskan ide2 smeoga ada lanjutannya iya koh,Positif
marketing dengan ccra tulus atau memberitahu fakta jauhilah riba,Negatif
penjelasan yang selalu menceritakan dan mencontohkan dengan detail cuman ustad felix siauw analisa dan logika nya masuk terus keren thumbs up,Positif
iya allah berikanlah mandat jabatan pemerintahan indonesia ini kepada orang-orang seperti ustadz felix ini agar makmur keadilan sosial bagi seluruh rakyat indonesia,Positif
singkat padat ngamuk face with tears of joy sangat natural sekali,Positif
enggak dosa ini yang saya enggak dapat dari yang lain terima kasih ustad memang bukan yang supreme ideal seperti ikhlas dan ridho tapi enggak dosa masih sangat lebih baik dari dosa walau dosa super kecil edan 50taun baru terpikir terima kasih ustad terima kasih iya allah dikasih kesempatan dengar ini oiya terima kasih leon,Positif
mampir kesini karena ada ustadz felix siauw,Netral
literasi keuangan harus diajarkan di setiap sekolah saya tidak mempelajarinya sampai usia an tetapi itu mengubah hidup saya berinvestasi bukan hanya untuk orang kayak tetapi juga cara orang menjadi kayak itulah yang membawa saya ke posisi saya saat ini mampu mengamankan rumah kedua saya di amerika melalui pengetahuan yang saya peroleh dari seorang ahli,Positif
luas sekali ilmunya ust felix face with open mouth face with open mouth face with open mouth face with open mouth,Netral
habis menonton ini aku ktp muslim tapi ternyata belum ngerti2 amat agama islam harus belajar dari koh ust felix nih,Negatif
saya selalu suka podcast lintas pemikiran membuka wawasan dan sudut pandang,Positif
maasyaa allah tabaarakallah ufs yang selalu mencerahkan white heart white heart,Positif
betul disistem sekarang orang jujur akan sulit untuk kayak harusnya rakyat indonesia itu makmur kalau misal tambang dsb itu dibagi rata bukan dikuasai perorangan,Negatif
terimakasih sudah undang pembisnis dengan niat tujuan buat allah smiling face with smiling eyes undang yang begini lagi kalau bisa aku mau belajar,Negatif
baru menonton channel ini setelah lihat narasumbernya ust felix looks like nih channel bagus juga host nya,Positif
yang saya kagumi dari ustadz felix beliau enggak asal menyampaikan kalau memang enggak tahu dalilnya ilmu pengetahuannya iya bilang enggak asal itu boleh itu enggak boleh kayak ustadz atau gus2 lain thumbs up,Negatif
again thank you dua idola ini one frame bahagia for both of you kok leon dan kok felix,Positif
arah bahasan topik yang sangat bermanfaat dan signifikan setelah pak mahfud md lanjut ustadz felix maju terus koh leon tapi jangan dulu tergoda jadi politikus apalagi masuk partai politik iya,Positif
lah cuman jam face with tears of joy,Negatif
mungkin dia kali menonton grinning face with sweat grinning face with sweat duodin,Netral
duodin kan ada part dan part yang totalnya jam,Netral
itulah hasil mengaji di hti kitabnya ada keren nidzam iqtishodi fil islam sistem ekonomi islam,Netral
amin semoga jadi presiden,Positif
ustad felix saja tidak mau jadi pejabat lgan kita baik tapi lingkungan eror iya tetap kita yang terwarnai dong lama-lama,Negatif
karomah hy7zr lah terus bagaimana dong solusinya kalau begini terus indonesia kapan berubah maju nya,Negatif
mengkhayal,Positif
orang orang yang baik justru disingkirkan,Negatif
masyaallah iya ust felix cara menyampaikan nya paham dimengerti cerdas teliti riset mantap pokoknya,Positif
dosa saudara laki-laki bitcoin dan altcoin ini justru gharar dan tidak ada real valuenya kalau memang cari yang halal tinggalkan saja nyawa bitcoin dari altcoin dan turunannya meme dan kawan-kawan yang semua sifatnya zero sum game dapat untung dari uang orang yang kalah disitu belum lagi scamnya sebagian untung bandar altcoin ini kemudian dibelikan bitcoin buat nembokin bitcoin biar apa biar trust trhadp kripto ini tetap ada karena semua didasarkan pada bitcoin bitcoin ini dijaga karena jadi pintu utama untuk berjudi di altcoin tadi,Negatif
senang melihatmu menang bisakah kamu menunjukkan cara apakah kamu punya saran atau kiat aku akan berterima kasih jika ada cara untuk berkomunikasi denganmu,Positif
akan sangat sulit meningkatkan keuangan anda sementara jika anda bukan seorang ahli saya akan selalu menyarankan siapa pun untuk mencari bantuan dari seorang ahli untuk keuntungan maksimal,Positif
